fname,fcount
/dev/null,2
/dev/nvidia-uvm,1
/dev/nvidia1,2
/dev/nvidiactl,23
/dev/shm/sem.BTc0A5,1
/dev/shm/sem.ISi9DM,1
/dev/shm/sem.JA2qlt,1
/dev/shm/sem.U43vYY,1
/dev/shm/sem.pQ261e,1
/etc/ld.so.cache,92
/proc/version_signature,4
/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B/snapshots/d04e592bb4f6aa9cfee91e2e20a..,8
/root/.cache/tvm-ffi/libtorch_c_dlpack_addon_torch29-cuda.so,4
/root/.triton/cache/YU2JAVMUDZ5H5NM2UV7YLARYIS35PZL4WNAPRO3QLGCUQRK25FTA/cuda_utils.cpython-312-x86..,4
/usr/lib/gcc/x86_64-linux-gnu/11/liblto_plugin.so,8
/usr/lib/locale/C.utf8/LC_CTYPE,25
/usr/lib/python3.12/lib-dynload/_asyncio.cpython-312-x86_64-linux-gnu.so,12
/usr/lib/python3.12/lib-dynload/_bz2.cpython-312-x86_64-linux-gnu.so,16
/usr/lib/python3.12/lib-dynload/_contextvars.cpython-312-x86_64-linux-gnu.so,12
/usr/lib/python3.12/lib-dynload/_ctypes.cpython-312-x86_64-linux-gnu.so,16
/usr/lib/python3.12/lib-dynload/_decimal.cpython-312-x86_64-linux-gnu.so,12
/usr/lib/python3.12/lib-dynload/_hashlib.cpython-312-x86_64-linux-gnu.so,12
/usr/lib/python3.12/lib-dynload/_json.cpython-312-x86_64-linux-gnu.so,16
/usr/lib/python3.12/lib-dynload/_lsprof.cpython-312-x86_64-linux-gnu.so,12
/usr/lib/python3.12/lib-dynload/_lzma.cpython-312-x86_64-linux-gnu.so,16
/usr/lib/python3.12/lib-dynload/_multibytecodec.cpython-312-x86_64-linux-gnu.so,12
/usr/lib/python3.12/lib-dynload/_multiprocessing.cpython-312-x86_64-linux-gnu.so,20
/usr/lib/python3.12/lib-dynload/_posixshmem.cpython-312-x86_64-linux-gnu.so,16
/usr/lib/python3.12/lib-dynload/_queue.cpython-312-x86_64-linux-gnu.so,16
/usr/lib/python3.12/lib-dynload/_sqlite3.cpython-312-x86_64-linux-gnu.so,8
/usr/lib/python3.12/lib-dynload/_ssl.cpython-312-x86_64-linux-gnu.so,12
/usr/lib/python3.12/lib-dynload/_uuid.cpython-312-x86_64-linux-gnu.so,12
/usr/lib/python3.12/lib-dynload/_zoneinfo.cpython-312-x86_64-linux-gnu.so,12
/usr/lib/python3.12/lib-dynload/mmap.cpython-312-x86_64-linux-gnu.so,16
/usr/lib/python3.12/lib-dynload/resource.cpython-312-x86_64-linux-gnu.so,12
/usr/lib/python3.12/lib-dynload/termios.cpython-312-x86_64-linux-gnu.so,12
/usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache,25
/usr/lib/x86_64-linux-gnu/libbfd-2.38-system.so,16
/usr/lib/x86_64-linux-gnu/libbz2.so.1.0,16
/usr/lib/x86_64-linux-gnu/libc.so.6,180
/usr/lib/x86_64-linux-gnu/libcrypto.so.3,12
/usr/lib/x86_64-linux-gnu/libctf.so.0,8
/usr/lib/x86_64-linux-gnu/libdl.so.2,12
/usr/lib/x86_64-linux-gnu/libexpat.so.1,20
/usr/lib/x86_64-linux-gnu/libffi.so.8,16
/usr/lib/x86_64-linux-gnu/libfribidi.so.0,12
