ret,fname,en_datetime,ex_datetime,proc
124682597269504,/dev/null,2025-12-04 10:33:02.549197,2025-12-04 10:33:02.549203,vllm
8665432064,/dev/nvidia-uvm,2025-12-04 10:33:26.689721,2025-12-04 10:33:26.689826,VLLM::EngineCor
123973412900864,/dev/nvidia1,2025-12-04 10:33:25.763485,2025-12-04 10:33:25.763510,VLLM::EngineCor
8594128896,/dev/nvidiactl,2025-12-04 10:33:26.666339,2025-12-04 10:33:26.668318,VLLM::EngineCor
128567928233984,/dev/shm/sem.BTc0A5,2025-12-04 10:33:27.695746,2025-12-04 10:33:27.695755,python3
128567935078400,/dev/shm/sem.ISi9DM,2025-12-04 10:33:27.695563,2025-12-04 10:33:27.695575,python3
123980491554816,/dev/shm/sem.JA2qlt,2025-12-04 10:33:56.990343,2025-12-04 10:33:56.990370,VLLM::EngineCor
123980491563008,/dev/shm/sem.U43vYY,2025-12-04 10:33:25.441615,2025-12-04 10:33:25.441624,VLLM::EngineCor
128567928127488,/dev/shm/sem.pQ261e,2025-12-04 10:33:27.695892,2025-12-04 10:33:27.695900,python3
124680540852224,/etc/ld.so.cache,2025-12-04 10:32:47.139217,2025-12-04 10:32:47.139230,vllm
124682598907904,/proc/version_signature,2025-12-04 10:33:02.549128,2025-12-04 10:33:02.549148,vllm
123943929249792,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B/snapshots/d04e592bb4f6aa9cfee91e2e20a..,2025-12-04 10:33:56.992266,2025-12-04 10:33:56.992303,VLLM::EngineCor
123970875555840,/root/.cache/tvm-ffi/libtorch_c_dlpack_addon_torch29-cuda.so,2025-12-04 10:33:56.244980,2025-12-04 10:33:56.245012,VLLM::EngineCor
123970204954624,/root/.triton/cache/YU2JAVMUDZ5H5NM2UV7YLARYIS35PZL4WNAPRO3QLGCUQRK25FTA/cuda_utils.cpython-312-x86..,2025-12-04 10:34:14.596118,2025-12-04 10:34:14.596158,VLLM::EngineCor
129605099102208,/usr/lib/gcc/x86_64-linux-gnu/11/liblto_plugin.so,2025-12-04 10:33:55.152611,2025-12-04 10:33:55.152624,ld
123134708940800,/usr/lib/locale/C.utf8/LC_CTYPE,2025-12-04 10:32:58.362068,2025-12-04 10:32:58.362075,uname
131360539942912,/usr/lib/python3.12/lib-dynload/_asyncio.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:03.989162,2025-12-04 10:33:03.989190,python3
131360659730432,/usr/lib/python3.12/lib-dynload/_bz2.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:02.991404,2025-12-04 10:33:02.991411,python3
131360657055744,/usr/lib/python3.12/lib-dynload/_contextvars.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:03.724232,2025-12-04 10:33:03.724244,python3
131360662155264,/usr/lib/python3.12/lib-dynload/_ctypes.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:02.962923,2025-12-04 10:33:02.962931,python3
124680540880896,/usr/lib/python3.12/lib-dynload/_decimal.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:32:41.857429,2025-12-04 10:32:41.857442,vllm
131360652845056,/usr/lib/python3.12/lib-dynload/_hashlib.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:04.044224,2025-12-04 10:33:04.044230,python3
131360659374080,/usr/lib/python3.12/lib-dynload/_json.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:02.995359,2025-12-04 10:33:02.995367,python3
124682480267264,/usr/lib/python3.12/lib-dynload/_lsprof.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:32:41.219685,2025-12-04 10:32:41.219707,vllm
131360659599360,/usr/lib/python3.12/lib-dynload/_lzma.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:02.992177,2025-12-04 10:33:02.992187,python3
124679269167104,/usr/lib/python3.12/lib-dynload/_multibytecodec.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:32:51.768483,2025-12-04 10:32:51.768495,vllm
131360652795904,/usr/lib/python3.12/lib-dynload/_multiprocessing.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:04.345008,2025-12-04 10:33:04.345018,python3
131360656945152,/usr/lib/python3.12/lib-dynload/_posixshmem.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:04.349269,2025-12-04 10:33:04.349280,python3
131360656965632,/usr/lib/python3.12/lib-dynload/_queue.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:04.029536,2025-12-04 10:33:04.029546,python3
124675515338752,/usr/lib/python3.12/lib-dynload/_sqlite3.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:01.539679,2025-12-04 10:33:01.539688,vllm
131360652275712,/usr/lib/python3.12/lib-dynload/_ssl.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:03.979703,2025-12-04 10:33:03.979713,python3
131360652824576,/usr/lib/python3.12/lib-dynload/_uuid.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:33:04.187921,2025-12-04 10:33:04.187930,python3
124679570444288,/usr/lib/python3.12/lib-dynload/_zoneinfo.cpython-312-x86_64-linux-gnu.so,2025-12-04 10:32:51.138963,2025-12-04 10:32:51.138975,vllm
