ret,fname,fcount
124682597269504,/dev/null,2
8665432064,/dev/nvidia-uvm,1
123973412900864,/dev/nvidia1,2
8594128896,/dev/nvidiactl,23
128567928233984,/dev/shm/sem.BTc0A5,1
128567935078400,/dev/shm/sem.ISi9DM,1
123980491554816,/dev/shm/sem.JA2qlt,1
123980491563008,/dev/shm/sem.U43vYY,1
128567928127488,/dev/shm/sem.pQ261e,1
124680540852224,/etc/ld.so.cache,92
124682598907904,/proc/version_signature,4
123943929249792,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B/snapshots/d04e592bb4f6aa9cfee91e2e20a..,8
123970875555840,/root/.cache/tvm-ffi/libtorch_c_dlpack_addon_torch29-cuda.so,4
123970204954624,/root/.triton/cache/YU2JAVMUDZ5H5NM2UV7YLARYIS35PZL4WNAPRO3QLGCUQRK25FTA/cuda_utils.cpython-312-x86..,4
129605099102208,/usr/lib/gcc/x86_64-linux-gnu/11/liblto_plugin.so,8
123134708940800,/usr/lib/locale/C.utf8/LC_CTYPE,25
131360539942912,/usr/lib/python3.12/lib-dynload/_asyncio.cpython-312-x86_64-linux-gnu.so,12
131360659730432,/usr/lib/python3.12/lib-dynload/_bz2.cpython-312-x86_64-linux-gnu.so,16
131360657055744,/usr/lib/python3.12/lib-dynload/_contextvars.cpython-312-x86_64-linux-gnu.so,12
131360662155264,/usr/lib/python3.12/lib-dynload/_ctypes.cpython-312-x86_64-linux-gnu.so,16
124680540880896,/usr/lib/python3.12/lib-dynload/_decimal.cpython-312-x86_64-linux-gnu.so,12
131360652845056,/usr/lib/python3.12/lib-dynload/_hashlib.cpython-312-x86_64-linux-gnu.so,12
131360659374080,/usr/lib/python3.12/lib-dynload/_json.cpython-312-x86_64-linux-gnu.so,16
124682480267264,/usr/lib/python3.12/lib-dynload/_lsprof.cpython-312-x86_64-linux-gnu.so,12
131360659599360,/usr/lib/python3.12/lib-dynload/_lzma.cpython-312-x86_64-linux-gnu.so,16
124679269167104,/usr/lib/python3.12/lib-dynload/_multibytecodec.cpython-312-x86_64-linux-gnu.so,12
131360652795904,/usr/lib/python3.12/lib-dynload/_multiprocessing.cpython-312-x86_64-linux-gnu.so,20
131360656945152,/usr/lib/python3.12/lib-dynload/_posixshmem.cpython-312-x86_64-linux-gnu.so,16
131360656965632,/usr/lib/python3.12/lib-dynload/_queue.cpython-312-x86_64-linux-gnu.so,16
124675515338752,/usr/lib/python3.12/lib-dynload/_sqlite3.cpython-312-x86_64-linux-gnu.so,8
131360652275712,/usr/lib/python3.12/lib-dynload/_ssl.cpython-312-x86_64-linux-gnu.so,12
131360652824576,/usr/lib/python3.12/lib-dynload/_uuid.cpython-312-x86_64-linux-gnu.so,12
124679570444288,/usr/lib/python3.12/lib-dynload/_zoneinfo.cpython-312-x86_64-linux-gnu.so,12
131360656990208,/usr/lib/python3.12/lib-dynload/mmap.cpython-312-x86_64-linux-gnu.so,16
124679570419712,/usr/lib/python3.12/lib-dynload/resource.cpython-312-x86_64-linux-gnu.so,12
124682480226304,/usr/lib/python3.12/lib-dynload/termios.cpython-312-x86_64-linux-gnu.so,12
123134711574528,/usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache,25
126967012167680,/usr/lib/x86_64-linux-gnu/libbfd-2.38-system.so,16
131360659652608,/usr/lib/x86_64-linux-gnu/libbz2.so.1.0,16
123134709309440,/usr/lib/x86_64-linux-gnu/libc.so.6,180
131353829527552,/usr/lib/x86_64-linux-gnu/libcrypto.so.3,12
129605101940736,/usr/lib/x86_64-linux-gnu/libctf.so.0,8
131360658255872,/usr/lib/x86_64-linux-gnu/libdl.so.2,12
131360668495872,/usr/lib/x86_64-linux-gnu/libexpat.so.1,20
131360662073344,/usr/lib/x86_64-linux-gnu/libffi.so.8,16
124678677278720,/usr/lib/x86_64-linux-gnu/libfribidi.so.0,12
131360658104320,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,16
130057082359808,/usr/lib/x86_64-linux-gnu/libgmp.so.10,8
130057085820928,/usr/lib/x86_64-linux-gnu/libisl.so.23,8
131360659423232,/usr/lib/x86_64-linux-gnu/liblzma.so.5,16
131360668811264,/usr/lib/x86_64-linux-gnu/libm.so.6,96
130057085706240,/usr/lib/x86_64-linux-gnu/libmpc.so.3,8
130057082892288,/usr/lib/x86_64-linux-gnu/libmpfr.so.6,8
124677455060992,/usr/lib/x86_64-linux-gnu/libnuma.so.1,12
124675518627840,/usr/lib/x86_64-linux-gnu/libnvidia-ml.so.1,8
126967013715968,/usr/lib/x86_64-linux-gnu/libopcodes-2.38-system.so,8
129666083934208,/usr/lib/x86_64-linux-gnu/libpcre.so.3,4
131360658276352,/usr/lib/x86_64-linux-gnu/libpthread.so.0,88
131360658235392,/usr/lib/x86_64-linux-gnu/librt.so.1,12
125198497316864,/usr/lib/x86_64-linux-gnu/libsmartcols.so.1,4
124673030377472,/usr/lib/x86_64-linux-gnu/libsqlite3.so.0,8
131356736995328,/usr/lib/x86_64-linux-gnu/libssl.so.3,12
131360528089088,/usr/lib/x86_64-linux-gnu/libstdc++.so.6,12
135833320669184,/usr/lib/x86_64-linux-gnu/libtinfo.so.6,4
131360657027072,/usr/lib/x86_64-linux-gnu/libutil.so.1,12
131360652759040,/usr/lib/x86_64-linux-gnu/libuuid.so.1,12
